Name,Ticker,Weight,Sector,Shares Held
PUBLIC STORAGE,PSA,0.098453,Real Estate,1991740
PAYCHEX INC,PAYX,0.098058,Others,4047227
COPART INC,CPRT,0.097779,Others,11077828
AMERIPRISE FINANCIAL INC,AMP,0.097715,Others,1225917
DOMINION ENERGY INC,D,0.0969,Utilities,10614873
METLIFE INC,MET,0.096379,Others,7349746
DIGITAL REALTY TRUST INC,DLR,0.096227,Others,3939840
CENCORA INC,COR,0.095591,Others,2212441
KENVUE INC,KVUE,0.094779,Others,24227534
MARATHON PETROLEUM CORP,MPC,0.093914,Energy,4061223
KROGER CO,KR,0.093833,Others,8411340
EXELON CORP,EXC,0.093229,Utilities,12707777
CUMMINS INC,CMI,0.091566,Others,1733850
SEMPRA,SRE,0.091562,Utilities,7996081
YUM  BRANDS INC,YUM,0.091308,Others,3526429
MSCI INC,MSCI,0.090492,Others,990266
FAIR ISAAC CORP,FICO,0.090463,Others,307431
WW GRAINGER INC,GWW,0.090116,Others,559980
TE CONNECTIVITY PLC,TEL,0.090102,Others,3780489
FASTENAL CO,FAST,0.090033,Others,7239386
BAKER HUGHES CO,BKR,0.088085,Others,12504260
ROSS STORES INC,ROST,0.087237,Others,4192255
VERISK ANALYTICS INC,VRSK,0.087045,Others,1784350
CROWN CASTLE INC,CCI,0.086679,Real Estate,5491592
CORTEVA INC,CTVA,0.085876,Others,8684809
VISTRA CORP,VST,0.085618,Others,4299257
EDWARDS LIFESCIENCES CORP,EW,0.085472,Others,7453208
L3HARRIS TECHNOLOGIES INC,LHX,0.085414,Others,2396543
DISCOVER FINANCIAL SERVICES,DFS,0.085267,Others,3172972
AMETEK INC,AME,0.085143,Others,2922916
TARGA RESOURCES CORP,TRGP,0.085031,Others,2755309
VALERO ENERGY CORP,VLO,0.084933,Energy,4000402
OTIS WORLDWIDE CORP,OTIS,0.084859,Others,5047844
HESS CORP,HES,0.084826,Others,3492351
PUBLIC SERVICE ENTERPRISE GP,PEG,0.084727,Others,6295857
KEURIG DR PEPPER INC,KDP,0.084452,Others,15113361
XCEL ENERGY INC,XEL,0.083396,Others,7256694
UNITED RENTALS INC,URI,0.083195,Others,829648
COGNIZANT TECH SOLUTIONS A,CTSH,0.082834,Others,6265235
AXON ENTERPRISE INC,AXON,0.082619,Others,915789
MONSTER BEVERAGE CORP,MNST,0.081148,Others,8848513
FIDELITY NATIONAL INFO SERV,FIS,0.080078,Others,6802643
PRUDENTIAL FINANCIAL INC,PRU,0.079743,Others,4498302
GE HEALTHCARE TECHNOLOGY,GEHC,0.079365,Others,5773633
FORD MOTOR CO,F,0.079333,Others,49325229
QUANTA SERVICES INC,PWR,0.078673,Others,1862473
CBRE GROUP INC   A,CBRE,0.078129,Others,3801086
DR HORTON INC,DHI,0.077928,Others,3685413
CONSOLIDATED EDISON INC,ED,0.077315,Others,4380905
P G + E CORP,PCG,0.076463,Consumer Staples,27625809
SYSCO CORP,SYY,0.07612,Others,6207465
ENTERGY CORP,ETR,0.075727,Others,5416528
CORNING INC,GLW,0.074938,Others,9737425
LULULEMON ATHLETICA INC,LULU,0.074578,Others,1426949
GARTNER INC,IT,0.074243,Others,973129
ARCH CAPITAL GROUP LTD,ACGL,0.072246,Others,4734829
HARTFORD INSURANCE GROUP INC,HIG,0.072026,Others,3663304
AGILENT TECHNOLOGIES INC,A,0.071896,Others,3630846
CHARTER COMMUNICATIONS INC A,CHTR,0.071236,Others,1222037
TAKE TWO INTERACTIVE SOFTWRE,TTWO,0.070958,Others,2064764
IDEXX LABORATORIES INC,IDXX,0.070941,Others,1034601
VICI PROPERTIES INC,VICI,0.07093,Others,13321165
WEC ENERGY GROUP INC,WEC,0.070913,Others,3997549
GENERAL MILLS INC,GIS,0.070861,Others,7015377
ELECTRONIC ARTS INC,EA,0.07009,Others,3015579
RESMED INC,RMD,0.068776,Others,1854722
INGERSOLL RAND INC,IR,0.068759,Others,5092699
WILLIS TOWERS WATSON PLC,WTW,0.068537,Others,1272641
GARMIN LTD,GRMN,0.068338,Others,1940958
COSTAR GROUP INC,CSGP,0.067767,Others,5322622
IQVIA HOLDINGS INC,IQV,0.066706,Others,2178539
DUPONT DE NEMOURS INC,DD,0.066657,Materials,5272472
OCCIDENTAL PETROLEUM CORP,OXY,0.065426,Energy,8529575
EBAY INC,EBAY,0.06534,Others,6053174
OLD DOMINION FREIGHT LINE,ODFL,0.065307,Utilities,2374288
CARDINAL HEALTH INC,CAH,0.065165,Others,3057917
NUCOR CORP,NUE,0.064878,Materials,2967129
HUMANA INC,HUM,0.06465,Others,1521754
WABTEC CORP,WAB,0.064607,Others,2172005
EXTRA SPACE STORAGE INC,EXR,0.064603,Others,2679098
NASDAQ INC,NDAQ,0.063477,Others,5228960
VULCAN MATERIALS CO,VMC,0.063392,Others,1669119
AVALONBAY COMMUNITIES INC,AVB,0.062953,Others,1794539
XYLEM INC,XYL,0.062694,Others,3070088
EQUIFAX INC,EFX,0.062623,Others,1567435
CENTENE CORP,CNC,0.062406,Others,6379809
EQT CORP,EQT,0.062053,Others,7525169
ROCKWELL AUTOMATION INC,ROK,0.06145,Others,1426263
MARTIN MARIETTA MATERIALS,MLM,0.060622,Others,772382
DELL TECHNOLOGIES  C,DELL,0.060566,Others,3881810
CONSTELLATION BRANDS INC A,STZ,0.060464,Others,1972953
M + T BANK CORP,MTB,0.060332,Others,2097054
DELTA AIR LINES INC,DAL,0.060051,Others,8101490
BROWN + BROWN INC,BRO,0.05967,Others,2999841
MONOLITHIC POWER SYSTEMS INC,MPWR,0.059455,Others,616742
MICROCHIP TECHNOLOGY INC,MCHP,0.059429,Others,6786179
VENTAS INC,VTR,0.059373,Others,5301431
AMERICAN WATER WORKS CO INC,AWK,0.059254,Others,2463161
LENNAR CORP A,LEN,0.059239,Others,3017341
ANSYS INC,ANSS,0.059205,Others,1104703
TRACTOR SUPPLY COMPANY,TSCO,0.058852,Others,6750226
DTE ENERGY COMPANY,DTE,0.05862,Others,2617268
DIAMONDBACK ENERGY INC,FANG,0.058109,Others,2361524
HP INC,HPQ,0.05736,Others,12177627
CHURCH + DWIGHT CO INC,CHD,0.05723,Others,3089504
DEXCOM INC,DXCM,0.057047,Others,4936032
KRAFT HEINZ CO/THE,KHC,0.056832,Others,11154210
INTERNATIONAL PAPER CO,IP,0.056398,Others,6633073
BROADRIDGE FINANCIAL SOLUTIO,BR,0.056292,Others,1478672
AMEREN CORPORATION,AEE,0.055766,Others,3373115
PPG INDUSTRIES INC,PPG,0.05509,Others,2931268
KEYSIGHT TECHNOLOGIES IN,KEYS,0.054833,Others,2192908
RAYMOND JAMES FINANCIAL INC,RJF,0.054564,Others,2312458
HERSHEY CO/THE,HSY,0.054178,Others,1867055
DOW INC,DOW,0.054093,Materials,8846742
METTLER TOLEDO INTERNATIONAL,MTD,0.054031,Others,266349
PPL CORP,PPL,0.053747,Others,9325454
