date,nominal_value,real_value,cpi_value,inflation_rate
2015-01-01,12521.46767290412,9030.39180840327,234.75,38.65918487891315
2015-02-01,12537.119507495252,9019.012206250303,235.34,39.00767867690489
2015-03-01,12552.790906879618,9005.794984891598,235.98,39.38570584760779
2015-04-01,12568.48189551322,9007.890885235747,236.22,39.52746603662136
2015-05-01,12584.19249788261,8989.467467896735,237.0,39.98818665091552
2015-06-01,12599.922738504963,8975.708657867923,237.66,40.37802717070289
2015-07-01,12615.672641928093,8972.958779474966,238.03,40.596574128765496
2015-08-01,12631.442232730504,8984.174977949311,238.03,40.596574128765496
2015-09-01,12647.231535521418,9015.479153531689,237.5,40.28352037802716
2015-10-01,12663.040574940818,9018.01526663644,237.73,40.4193738924985
2015-11-01,12678.869375659493,9018.28663683368,238.02,40.590667454223265
2015-12-01,12694.717962379067,9039.4336769464,237.76,40.4370939161252
2016-01-01,12710.586359832041,9054.92224161399,237.65,40.372120496160655
2016-02-01,12726.474592781831,9078.082702275067,237.34,40.18901358535143
2016-03-01,12742.38268602281,9061.178548150461,238.08,40.62610750147666
2016-04-01,12758.310664380335,9037.959728355123,238.99,41.163614884819836
2016-05-01,12774.258552710811,9027.725717874187,239.56,41.5002953337271
2016-06-01,12790.226375901699,9014.175861460984,240.22,41.890135853514465
2016-07-01,12806.214158871577,9029.954423560841,240.1,41.81925575900767
2016-08-01,12822.221926570166,9024.7034678986,240.54,42.079149438865905
2016-09-01,12838.249703978378,9012.006281132513,241.18,42.457176609568805
2016-10-01,12854.29751610835,9002.368534281228,241.74,42.78795038393384
2016-11-01,12870.365388003484,9002.821386559477,242.03,42.95924394565858
2016-12-01,12886.45334473849,8991.413416024672,242.64,43.31955109273478
2017-01-01,12902.56141141941,8966.438087814246,243.62,43.89840519787358
2017-02-01,12918.689613183686,8963.297207130849,244.01,44.12876550502065
2017-03-01,12934.837975200164,8978.917008493125,243.89,44.057885410513855
2017-04-01,12951.006522669164,8979.09580362787,244.19,44.235085646780846
2017-05-01,12967.195280822501,8997.320332144465,244.0,44.12285883047844
2017-06-01,12983.404274923529,9002.663596594666,244.16,44.21736562315415
2017-07-01,12999.633530267183,9010.964447568926,244.24,44.26461901949202
2017-08-01,13015.883072180017,8987.637670772807,245.18,44.81984642646191
2017-09-01,13032.152926020242,8952.862726729538,246.44,45.56408741878322
2017-10-01,13048.443117177765,8957.148034457268,246.63,45.67631423508563
2017-11-01,13064.753671074239,8944.77028677155,247.28,46.06024808033076
2017-12-01,13081.08461316308,8937.157485910046,247.8,46.36739515652688
2018-01-01,13097.435968929534,8910.214214979387,248.86,46.99350265800355
2018-02-01,13113.807763890694,8897.397725430588,249.53,47.38924985233312
2018-03-01,13130.200023595557,8906.734770393172,249.58,47.418783225044294
2018-04-01,13146.612773625053,8894.703043498868,250.23,47.802717070289404
2018-05-01,13163.046039592084,8885.935222708003,250.79,48.13349084465444
2018-06-01,13179.499847141573,8888.89062274348,251.02,48.269344359125796
2018-07-01,13195.974221950499,8893.270314781337,251.21,48.38157117542823
2018-08-01,13212.469189727937,8888.464729480012,251.66,48.647371529828696
2018-09-01,13228.984776215098,8881.224215295488,252.18,48.9545186060248
2018-10-01,13245.521007185365,8871.569832323783,252.77,49.303012404016535
2018-11-01,13262.077908444347,8888.989231163658,252.59,49.196692262256335
2018-12-01,13278.655505829902,8893.762618732455,252.77,49.303012404016535
2019-01-01,13295.25382521219,8912.284101237028,252.56,49.17897223862964
2019-02-01,13311.872892493704,8896.652773958567,253.32,49.62787950383933
2019-03-01,13328.512733609321,8874.143486707795,254.28,50.19492025989367
2019-04-01,13345.173374526332,8852.164135514275,255.23,50.75605434140578
2019-05-01,13361.854841244489,8860.799156375606,255.3,50.797401063201406
2019-06-01,13378.557159796044,8875.003828821247,255.21,50.74424099232131
2019-07-01,13395.280356245788,8865.60189332452,255.8,51.092734790313045
2019-08-01,13412.024456691097,8868.363304631319,256.04,51.23449497932664
2019-09-01,13428.78948726196,8865.944157054362,256.43,51.46485528647371
2019-10-01,13445.575474121037,8852.171603222601,257.15,51.89013585351445
2019-11-01,13462.382443463688,8838.14699735692,257.88,52.32132309509745
2019-12-01,13479.210421518017,8823.532940351082,258.63,52.76432368576489
2020-01-01,13496.059434544914,8825.00815831159,258.91,52.92971057294744
2020-02-01,13512.929508838093,8824.451170091763,259.25,53.13053750738332
2020-03-01,13529.820670724142,8873.13050379081,258.15,52.48080330773772
2020-04-01,13546.732946562548,8954.288399847888,256.13,51.287655050206716
2020-05-01,13563.66636274575,8975.293004545067,255.85,51.12226816302421
2020-06-01,13580.620945699182,8946.300101583158,257.0,51.80153573538098
2020-07-01,13597.596721881306,8908.606961861014,258.41,52.6343768458358
2020-08-01,13614.593717783657,8886.728289396511,259.37,53.20141760189012
