Date,BND,SPY,VTIP,VXUS
2015-02-17,62.37690734863281,175.99533081054688,37.784854888916016,37.462215423583984
2015-02-18,62.55088806152344,176.0121307373047,37.84740447998047,37.61018753051758
2015-02-19,62.49797058105469,175.88645935058594,37.784854888916016,37.56581115722656
2015-02-20,62.513038635253906,176.94190979003906,37.80048370361328,37.84697723388672
2015-02-23,62.641685485839844,176.9167938232422,37.80830764770508,37.691593170166016
2015-02-24,62.89883041381836,177.41937255859375,37.86302947998047,37.92835998535156
2015-02-25,62.95931625366211,177.26856994628906,37.86302947998047,38.00975799560547
2015-02-26,62.7853889465332,177.05918884277344,37.902122497558594,37.94316864013672
2015-02-27,62.83831787109375,176.4560546875,38.019405364990234,37.93577194213867
2015-03-02,62.63518142700195,177.570068359375,37.909942626953125,37.93577194213867
2015-03-03,62.559444427490234,176.84136962890625,37.94903564453125,37.7433967590332
2015-03-04,62.559444427490234,176.0958709716797,37.95684814453125,37.55839920043945
2015-03-05,62.59734344482422,176.28855895996094,37.8942985534668,37.58060836791992
2015-03-06,62.2335319519043,173.80917358398438,37.777034759521484,37.062652587890625
2015-03-09,62.3093147277832,174.52952575683594,37.784854888916016,37.08485412597656
2015-03-10,62.55183410644531,171.69827270507812,37.74576187133789,36.30794143676758
2015-03-11,62.620079040527344,171.2962188720703,37.76139831542969,36.40412521362305
2015-03-12,62.6655387878418,173.47406005859375,37.74576187133789,36.80369567871094
2015-03-13,62.6048583984375,172.4103240966797,37.683223724365234,36.55211639404297
2015-03-16,62.726139068603516,174.71376037597656,37.65195083618164,36.936866760253906
2015-03-17,62.77922821044922,174.19448852539062,37.59722137451172,36.92206954956055
2015-03-18,63.16568374633789,176.28855895996094,37.86302947998047,37.70637893676758
2015-03-19,62.97624588012695,175.4844207763672,37.80830764770508,37.24763488769531
2015-03-20,63.142967224121094,177.03338623046875,37.80830764770508,37.98015594482422
2015-03-23,63.17329025268555,176.68841552734375,37.82394790649414,38.15774154663086
2015-03-24,63.279380798339844,175.6956024169922,37.88648986816406,38.172550201416016
2015-03-25,63.18086624145508,173.12100219726562,37.902122497558594,37.79253005981445
2015-03-26,62.97624588012695,172.70872497558594,37.88648986816406,37.57730484008789
2015-03-27,63.036869049072266,173.10423278808594,37.83958435058594,37.60698699951172
2015-03-30,63.11264419555664,175.21603393554688,37.83958435058594,37.76285171508789
2015-03-31,63.18086624145508,173.68475341796875,37.88648986816406,37.36947250366211
2015-04-01,63.43226623535156,173.07054138183594,37.964664459228516,37.666358947753906
2015-04-02,63.34871292114258,173.69314575195312,37.97248840332031,38.007774353027344
2015-04-06,63.40188980102539,174.8626708984375,38.06630325317383,38.43825149536133
2015-04-07,63.43986511230469,174.3998565673828,38.019405364990234,38.41598892211914
2015-04-08,63.39429473876953,174.9888458251953,38.01157760620117,38.6980094909668
2015-04-09,63.257564544677734,175.76295471191406,37.98030090332031,38.84645462036133
2015-04-10,63.227203369140625,176.7220458984375,37.95684814453125,38.890987396240234
