Name,Ticker,Industry,Weight
"Conagra Brands, Inc.",CAG,Consumer Staples,0.03%
The J.M. Smucker Company,SJM,Consumer Staples,0.03%
Pool Corporation,POOL,Consumer Discretionary,0.03%
Akamai Technologies Inc,AKAM,Information Technology,0.03%
Jb Hunt Transport Services Inc,JBHT,Industrials,0.02%
"Stanley Black & Decker, Inc.",SWK,Industrials,0.02%
Fox Corporation Class A,FOXA,Communication Services,0.02%
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,0.02%
Juniper Networks Inc,JNPR,Information Technology,0.02%
Carmax Inc.,KMX,Consumer Discretionary,0.02%
Regency Centers Corporation,REG,Real Estate,0.02%
Align Technology Inc,ALGN,Health Care,0.02%
Allegion Public Limited Company,ALLE,Industrials,0.02%
Nordson Corp,NDSN,Industrials,0.02%
Globe Life Inc.,GL,Financials,0.02%
"Universal Health Services, Inc. Class B",UHS,Health Care,0.02%
"Moderna, Inc.",MRNA,Health Care,0.02%
"Assurant, Inc.",AIZ,Financials,0.02%
Lkq Corporation,LKQ,Consumer Discretionary,0.02%
"Paycom Software, Inc.",PAYC,Information Technology,0.02%
Skyworks Solutions Inc,SWKS,Information Technology,0.02%
Pinnacle West Capital Corporation,PNW,Utilities,0.02%
Viatris Inc.,VTRS,Health Care,0.02%
Erie Indemnity Co,ERIE,Financials,0.02%
Molson Coors Beverage Company Class B,TAP,Consumer Staples,0.02%
Solventum Corporation,SOLV,Financials,0.02%
Eastman Chemical Company,EMN,Materials,0.02%
News Corporation Class A,NWSA,Communication Services,0.02%
Bunge Global Sa,BG,Materials,0.02%
"Host Hotels & Resorts, Inc.",HST,Real Estate,0.02%
"Tko Group Holdings, Inc.",TKO,Financials,0.02%
"Bxp, Inc.",BXP,Real Estate,0.02%
"Epam Systems, Inc.",EPAM,Information Technology,0.02%
"The Interpublic Group of Companies, Inc.",IPG,Communication Services,0.02%
Incyte Genomics Inc,INCY,Health Care,0.02%
Bio-Techne Corp.,TECH,Health Care,0.02%
"Dayforce, Inc.",DAY,Information Technology,0.02%
Ralph Lauren Corporation,RL,Consumer Discretionary,0.02%
Aes Corporation,AES,Utilities,0.02%
