Name,Ticker,Weight,Sector,Shares Held
LABCORP HOLDINGS INC,LH,0.042029,Unknown,1056784.0
COTERRA ENERGY INC,CTRA,0.041975,Unknown,9308070.0
SUPER MICRO COMPUTER INC,SMCI,0.04197,Unknown,6363488.0
VERISIGN INC,VRSN,0.041181,Unknown,1044730.0
EXPEDIA GROUP INC,EXPE,0.041148,Unknown,1551870.0
HEWLETT PACKARD ENTERPRISE,HPE,0.040906,Unknown,16410331.0
REGIONS FINANCIAL CORP,RF,0.040394,Unknown,11485004.0
NORTHERN TRUST CORP,NTRS,0.040309,Unknown,2505160.0
LYONDELLBASELL INDU CL A,LYB,0.040233,Unknown,3283207.0
MID AMERICA APARTMENT COMM,MAA,0.0402,Unknown,1472725.0
QUEST DIAGNOSTICS INC,DGX,0.04019,Unknown,1410606.0
INVITATION HOMES INC,INVH,0.039962,Unknown,7199327.0
WR BERKLEY CORP,WRB,0.03976,Unknown,3807812.0
SOUTHWEST AIRLINES CO,LUV,0.039705,Unknown,7589168.0
ESSEX PROPERTY TRUST INC,ESS,0.039627,Unknown,813533.0
NETAPP INC,NTAP,0.039325,Unknown,2587330.0
PTC INC,PTC,0.039282,Unknown,1518305.0
NRG ENERGY INC,NRG,0.039276,Unknown,2559602.0
CLOROX COMPANY,CLX,0.038796,Unknown,1564315.0
LIVE NATION ENTERTAINMENT IN,LYV,0.038759,Unknown,1983407.0
SEAGATE TECHNOLOGY HOLDINGS,STX,0.038511,Unknown,2665126.0
NISOURCE INC,NI,0.038493,Unknown,5898199.0
ON SEMICONDUCTOR,ON,0.038273,Unknown,5380230.0
LENNOX INTERNATIONAL INC,LII,0.038201,Unknown,405281.0
HUBBELL INC,HUBB,0.038002,Unknown,678632.0
MOLINA HEALTHCARE INC,MOH,0.037963,Unknown,723121.0
DECKERS OUTDOOR CORP,DECK,0.037915,Unknown,1919511.0
BAXTER INTERNATIONAL INC,BAX,0.03769,Unknown,6463855.0
LEIDOS HOLDINGS INC,LDOS,0.037684,Unknown,1685696.0
DOLLAR GENERAL CORP,DG,0.03737,Unknown,2769578.0
CITIZENS FINANCIAL GROUP,CFG,0.03734,Unknown,5568840.0
STEEL DYNAMICS INC,STLD,0.03721,Unknown,1788897.0
INSULET CORP,PODD,0.036485,Unknown,883575.0
TYSON FOODS INC CL A,TSN,0.036452,Unknown,3599805.0
SNAP ON INC,SNA,0.036295,Unknown,663572.0
PACKAGING CORP OF AMERICA,PKG,0.036269,Unknown,1126443.0
PRINCIPAL FINANCIAL GROUP,PFG,0.036147,Unknown,2659341.0
GENUINE PARTS CO,GPC,0.035416,Unknown,1757121.0
EXPEDITORS INTL WASH INC,EXPD,0.034769,Unknown,1768513.0
TAPESTRY INC,TPR,0.034645,Unknown,2944774.0
FACTSET RESEARCH SYSTEMS INC,FDS,0.034613,Unknown,479742.0
WEST PHARMACEUTICAL SERVICES,WST,0.034569,Unknown,915539.0
TRIMBLE INC,TRMB,0.034478,Unknown,3077169.0
ALLIANT ENERGY CORP,LNT,0.03412,Unknown,3248786.0
OMNICOM GROUP,OMC,0.033072,Unknown,2465536.0
COOPER COS INC/THE,COO,0.032921,Unknown,2509530.0
LOEWS CORP,L,0.032666,Unknown,2283826.0
EVERGY INC,EVRG,0.032546,Unknown,2895123.0
BALL CORP,BALL,0.032439,Unknown,3771060.0
ESTEE LAUDER COMPANIES CL A,EL,0.032304,Unknown,2951118.0
ALEXANDRIA REAL ESTATE EQUIT,ARE,0.032052,Unknown,1965013.0
EVEREST GROUP LTD,EG,0.03203,Unknown,542893.0
KEYCORP,KEY,0.032027,Unknown,12526026.0
F5 INC,FFIV,0.031884,Unknown,733911.0
MASCO CORP,MAS,0.031845,Unknown,2726387.0
LAS VEGAS SANDS CORP,LVS,0.031753,Unknown,4398021.0
ULTA BEAUTY INC,ULTA,0.03161,Unknown,595601.0
JACOBS SOLUTIONS INC,J,0.031601,Unknown,1570046.0
DOMINO S PIZZA INC,DPZ,0.031425,Unknown,436137.0
JABIL INC,JBL,0.0314,Unknown,1425602.0
APTIV PLC,APTV,0.031161,Unknown,2969851.0
WESTERN DIGITAL CORP,WDC,0.030986,Unknown,4368265.0
GEN DIGITAL INC,GEN,0.030487,Unknown,6860742.0
