Name,Ticker,Weight,Sector,Shares Held
SYNOPSYS INC,SNPS,0.14038,Unknown,1940812.0
CONSTELLATION ENERGY,CEG,0.139927,Unknown,3950591.0
CINTAS CORP,CTAS,0.139212,Unknown,4328208.0
AIR PRODUCTS + CHEMICALS INC,APD,0.138817,Materials,2808719.0
BECTON DICKINSON AND CO,BDX,0.13727,Unknown,3650820.0
US BANCORP,USB,0.135985,Unknown,19690858.0
CAPITAL ONE FINANCIAL CORP,COF,0.135037,Unknown,4816616.0
ECOLAB INC,ECL,0.134954,Unknown,3184439.0
EMERSON ELECTRIC CO,EMR,0.132786,Unknown,7205106.0
ROPER TECHNOLOGIES INC,ROP,0.128715,Unknown,1354950.0
AUTOZONE INC,AZO,0.127698,Unknown,213401.0
FORTINET INC,FTNT,0.126741,Unknown,8038704.0
APOLLO GLOBAL MANAGEMENT INC,APO,0.124159,Unknown,5648637.0
TRAVELERS COS INC/THE,TRV,0.123907,Unknown,2868589.0
ONEOK INC,OKE,0.123741,Unknown,7841704.0
BANK OF NEW YORK MELLON CORP,BK,0.123517,Unknown,9187460.0
HCA HEALTHCARE INC,HCA,0.122423,Unknown,2304377.0
SCHLUMBERGER LTD,SLB,0.120255,Energy,17844945.0
CSX CORP,CSX,0.1198,Unknown,24368294.0
AMERICAN ELECTRIC POWER,AEP,0.118389,Utilities,6729579.0
MARRIOTT INTERNATIONAL  CL A,MAR,0.116736,Unknown,2914986.0
FEDEX CORP,FDX,0.115513,Industrials,2840264.0
HILTON WORLDWIDE HOLDINGS IN,HLT,0.115291,Unknown,3080232.0
FREEPORT MCMORAN INC,FCX,0.115096,Materials,18147369.0
CARRIER GLOBAL CORP,CARR,0.11433,Unknown,10543780.0
ALLSTATE CORP,ALL,0.114083,Unknown,3346404.0
AUTODESK INC,ADSK,0.113207,Unknown,2716499.0
AFLAC INC,AFL,0.112065,Unknown,6317981.0
TRUIST FINANCIAL CORP,TFC,0.11177,Unknown,16774850.0
NEWMONT CORP,NEM,0.110834,Materials,14386123.0
GENERAL MOTORS CO,GM,0.110473,Unknown,13894781.0
JOHNSON CONTROLS INTERNATION,JCI,0.110354,Health Care,8441543.0
AIRBNB INC CLASS A,ABNB,0.110202,Unknown,5469763.0
PACCAR INC,PCAR,0.10996,Unknown,6620023.0
NORFOLK SOUTHERN CORP,NSC,0.109856,Utilities,2858835.0
ROYAL CARIBBEAN CRUISES LTD,RCL,0.109661,Unknown,3125404.0
KINDER MORGAN INC,KMI,0.109397,Unknown,24423907.0
NXP SEMICONDUCTORS NV,NXPI,0.108944,Unknown,3211254.0
AMERICAN INTERNATIONAL GROUP,AIG,0.108487,Unknown,7882464.0
PHILLIPS 66,PSX,0.107896,Energy,5218902.0
WORKDAY INC CLASS A,WDAY,0.10775,Unknown,2691375.0
HOWMET AEROSPACE INC,HWM,0.106372,Unknown,5133850.0
SIMON PROPERTY GROUP INC,SPG,0.10416,Real Estate,3869943.0
REALTY INCOME CORP,O,0.104102,Real Estate,11042551.0
TARGET CORP,TGT,0.102668,Unknown,5821418.0
KIMBERLY CLARK CORP,KMB,0.099666,Unknown,4213996.0
REPUBLIC SERVICES INC,RSG,0.099541,Unknown,2572447.0
PUBLIC STORAGE,PSA,0.098453,Real Estate,1991740.0
PAYCHEX INC,PAYX,0.098058,Unknown,4047227.0
COPART INC,CPRT,0.097779,Unknown,11077828.0
AMERIPRISE FINANCIAL INC,AMP,0.097715,Unknown,1225917.0
DOMINION ENERGY INC,D,0.0969,Utilities,10614873.0
METLIFE INC,MET,0.096379,Unknown,7349746.0
