Price,Close,High,Low,Open,Volume
Ticker,VUG,VUG,VUG,VUG,VUG
Date,,,,,
3/6/20,191.48178100585938,192.05405975298711,190.1917191314505,190.89009871459768,837900
4/6/20,189.54185485839844,191.80188689670294,188.4554783160269,190.967712,835000
5/6/20,193.7999725341797,194.37225117448006,190.97735681257197,191.56903899338425,1027400
8/6/20,195.4295196533203,195.56531483919946,192.9658027664942,194.12976361696767,2131100
9/6/20,195.78846740722656,196.7099360270615,194.20741143386934,194.4984054192301,1177100
10/6/20,197.09793090820312,198.41709090013197,195.80786883663836,196.90393983891914,1668300
11/6/20,186.6804199,193.81939922477184,186.56401346546457,192.7427320065168,1459500
12/6/20,188.63975524902344,191.87946619085855,185.11877432926033,191.44296786476656,974300
15/6/20,190.68638610839844,191.23927607602312,184.52708589700234,185.0120708648556,808400
16/6/20,194.3625946044922,195.4974577358296,191.2489843719246,195.39076044311065,846200
17/6/20,194.52749633789062,196.17644246150778,194.19771007328086,195.1676801225343,855000
18/6/20,194.94454956054688,195.25494703791807,193.7611850790603,193.9357873602232,633700
19/6/20,194.2364959716797,197.22400540114495,193.18892657688787,197.1173081072152,750900
22/6/20,196.64202880859375,196.76812965430003,193.80002359820406,194.14921341660175,751400
23/6/20,197.88360595703125,199.7459468782211,197.55381965652856,198.32010436715714,715300
24/6/20,193.15982055664062,198.10667335774622,192.0152630884743,196.96210108901266,878700
25/6/20,195.32640075683594,195.5208007800047,191.40918170449007,193.16852638658946,862300
26/6/20,190.33029174804688,195.10288988473604,190.28168802225136,194.91820462577795,848600
29/6/20,192.8380889892578,192.84780380151932,188.50289480493703,190.7968511994821,582300
30/6/20,196.43455505371094,196.94000712822185,192.61454230384336,192.77006830088908,750500
1/7/20,198.68960571289062,199.4477763,196.23040875135868,196.4831273322758,731000
2/7/20,199.5255126953125,201.45009814106223,199.2825089581098,200.74053138132615,812700
6/7/20,203.98709106445312,204.48281342986695,202.20830163781736,202.48046468139046,1164400
7/7/20,202.29579162597656,205.68812989516155,202.09167674688578,203.4427772345166,1144100
8/7/20,204.81329345703125,204.81329345703125,202.29576325767903,203.3552709123178,878000
9/7/20,205.7075653076172,206.24216176005862,202.41243463262128,206.09636542426074,839900
10/7/20,206.5726318359375,206.76703186947307,203.50106087805133,205.54229830960435,661000
13/7/20,202.35409545898438,210.34406073041959,201.90697682085394,208.42918980577068,1009600
14/7/20,204.8424835205078,204.98827986419147,198.89374055804745,201.2946192292019,1061100
15/7/20,206.03807067871094,207.2142008080043,203.78298821284443,206.92260810274178,891000
16/7/20,204.44393920898438,205.00770975078512,202.57767198359582,204.0454094555397,650000
17/7/20,205.2118377685547,205.88253060836442,203.45249268544472,205.25072668111508,663400
20/7/20,210.06216430664062,210.50929773701228,204.71608175412786,205.45480782194625,733600
21/7/20,208.7694091796875,211.62713604516688,208.0792867407187,211.62713604516688,925100
22/7/20,209.83860778808594,210.23712267513486,208.2153444804426,208.6430186316226,681000
23/7/20,205.28958129882812,210.55790123642677,204.29812176737823,209.5664565367499,912600
24/7/20,204.4536590576172,205.3187519307784,201.45985067487047,203.12200307455774,819400
27/7/20,207.29193115234375,207.5446645661259,204.9591008870774,205.43539361693573,676000
28/7/20,205.03689575195312,207.2725338,204.7647326730828,206.66987422517508,560700
29/7/20,207.9237518310547,208.3611556559774,206.00888091380963,206.00888091380963,626600
30/7/20,208.09872436523438,208.56530232611456,204.60919346154927,205.85337169368086,659600
31/7/20,211.28692626953125,211.36468926055662,207.69047321730903,211.22860773420572,738400
3/8/20,213.6197509765625,214.25155482423924,212.70605445953638,213.1240138103869,745700
4/8/20,214.24188232421875,214.30991567840536,212.64777792600148,213.22126335721566,596900
5/8/20,215.44712829589844,215.79705430456434,214.4751132531346,215.11664674098412,755300
6/8/20,217.90635681152344,218.13964579510267,214.91256309701717,215.3694114200007,691900
7/8/20,215.94290161132812,218.08133209705156,214.3682269,217.3037169663044,634100
10/8/20,215.3013458251953,216.56496842844732,212.83243398369936,216.39972764035818,628700
11/8/20,212.11312866210938,215.85539259491443,211.77291745666423,215.04861831118492,709000
12/8/20,216.25393676757812,216.97323335243757,213.79473950693924,213.79473950693924,6261300
13/8/20,217.1870880126953,218.82006649975594,216.5844433089147,216.5844433089147,1506900
14/8/20,216.79823303222656,217.61473695694247,216.10811064358637,217.3134146606258,1190100
17/8/20,218.99501037597656,219.24772896874617,217.93551745057567,217.9452322623759,699800
18/8/20,220.6571807861328,221.00710687610095,218.4409872,219.6657358910364,1337700
19/8/20,219.49073791503906,221.37644967282225,219.15054151274023,220.76407538420062,747600
20/8/20,221.8236083984375,222.15409002629931,218.22714008094164,218.39238089487256,595800
21/8/20,223.03858947753906,223.26214879574366,221.49307420951857,221.94992248918007,721300
24/8/20,224.33139038085938,225.82830215403322,222.75673044056327,225.6047428,778800
25/8/20,225.9643555,225.99351473572239,223.58292139810465,224.35080681466712,1056600
26/8/20,230.65919494628906,230.8049912841104,226.98497891545148,227.1502197,1154300
27/8/20,230.192627,232.0394497,228.59850792394775,230.99938644766414,1521100
28/8/20,231.67979431152344,231.92279807529397,230.36756805445356,231.32013865553765,682400
31/8/20,232.61294555664062,233.80852005049306,231.4756895993018,232.00057125969883,764400
1/9/20,236.17054748535156,236.21915121441378,233.0989757226376,234.31399479031472,927200
2/9/20,238.61029052734375,239.1935055883255,234.50838513862388,238.58113125747215,1490400
3/9/20,227.38351440429688,235.8011698101758,225.23536906341448,235.58732527419087,2310200
4/9/20,223.7676239013672,228.69573321283636,215.95261345101787,226.61562129499433,1773500
8/9/20,215.4082794189453,220.61828125090415,215.1749904419534,216.7593798931699,1297000
9/9/20,221.35699462890625,223.04830624279396,217.89662324507077,219.46156814975743,1229200
10/9/20,217.1773223876953,224.4382762279403,216.30251474766922,223.5634685879142,1111600
11/9/20,216.3608398,219.46157041871513,213.77527609070606,218.9658480518967,1020100
14/9/20,219.81150817871094,221.3764531830675,218.58677441382187,219.23802279265945,788900
15/9/20,222.40679931640625,223.4760219872765,221.27925810562942,222.56232531067377,855100
16/9/20,219.83094787597656,223.63153063739279,219.68513670574373,223.2621601375984,809100
17/9/20,216.9148712158203,218.32429000113058,214.60147076692098,215.1069227204141,862100
18/9/20,214.27102661132812,218.15908729429393,211.56882562320888,218.15908729429393,897600
