Name,Ticker,Weight,Industry,Shares Held
HUBBELL INC,HUBB,0.0003800,Unknown,678632
MOLINA HEALTHCARE INC,MOH,0.0003796,Unknown,723121
DECKERS OUTDOOR CORP,DECK,0.0003792,Unknown,1919511
BAXTER INTERNATIONAL INC,BAX,0.0003769,Unknown,6463855
LEIDOS HOLDINGS INC,LDOS,0.0003768,Unknown,1685696
DOLLAR GENERAL CORP,DG,0.0003737,Unknown,2769578
CITIZENS FINANCIAL GROUP,CFG,0.0003734,Unknown,5568840
STEEL DYNAMICS INC,STLD,0.0003721,Unknown,1788897
INSULET CORP,PODD,0.0003649,Unknown,883575
TYSON FOODS INC CL A,TSN,0.0003645,Unknown,3599805
SNAP ON INC,SNA,0.0003630,Unknown,663572
PACKAGING CORP OF AMERICA,PKG,0.0003627,Unknown,1126443
PRINCIPAL FINANCIAL GROUP,PFG,0.0003615,Unknown,2659341
GENUINE PARTS CO,GPC,0.0003542,Unknown,1757121
EXPEDITORS INTL WASH INC,EXPD,0.0003477,Unknown,1768513
TAPESTRY INC,TPR,0.0003465,Unknown,2944774
FACTSET RESEARCH SYSTEMS INC,FDS,0.0003461,Unknown,479742
WEST PHARMACEUTICAL SERVICES,WST,0.0003457,Unknown,915539
TRIMBLE INC,TRMB,0.0003448,Unknown,3077169
ALLIANT ENERGY CORP,LNT,0.0003412,Unknown,3248786
OMNICOM GROUP,OMC,0.0003307,Unknown,2465536
COOPER COS INC/THE,COO,0.0003292,Unknown,2509530
LOEWS CORP,L,0.0003267,Unknown,2283826
EVERGY INC,EVRG,0.0003255,Unknown,2895123
BALL CORP,BALL,0.0003244,Unknown,3771060
ESTEE LAUDER COMPANIES CL A,EL,0.0003230,Unknown,2951118
ALEXANDRIA REAL ESTATE EQUIT,ARE,0.0003205,Unknown,1965013
EVEREST GROUP LTD,EG,0.0003203,Unknown,542893
KEYCORP,KEY,0.0003203,Unknown,12526026
F5 INC,FFIV,0.0003188,Unknown,733911
MASCO CORP,MAS,0.0003185,Unknown,2726387
LAS VEGAS SANDS CORP,LVS,0.0003175,Unknown,4398021
ULTA BEAUTY INC,ULTA,0.0003161,Unknown,595601
JACOBS SOLUTIONS INC,J,0.0003160,Unknown,1570046
DOMINO S PIZZA INC,DPZ,0.0003143,Unknown,436137
JABIL INC,JBL,0.0003140,Unknown,1425602
APTIV PLC,APTV,0.0003116,Unknown,2969851
WESTERN DIGITAL CORP,WDC,0.0003099,Unknown,4368265
GEN DIGITAL INC,GEN,0.0003049,Unknown,6860742
ROLLINS INC,ROL,0.0003046,Unknown,3557885
FIRST SOLAR INC,FSLR,0.0003032,Unknown,1352841
BUILDERS FIRSTSOURCE INC,BLDR,0.0003015,Unknown,1454611
AVERY DENNISON CORP,AVY,0.0003013,Unknown,1015024
HOLOGIC INC,HOLX,0.0002998,Unknown,2926141
HEALTHPEAK PROPERTIES INC,DOC,0.0002988,Unknown,8838251
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,0.0002980,Unknown,649842
AMCOR PLC,AMCR,0.0002975,Unknown,18306497
TERADYNE INC,TER,0.0002964,Unknown,2058159
PENTAIR PLC,PNR,0.0002960,Unknown,2087757
BEST BUY CO INC,BBY,0.0002930,Unknown,2469217
KIMCO REALTY CORP,KIM,0.0002883,Unknown,8485753
IDEX CORP,IEX,0.0002870,Unknown,954132
REVVITY INC,RVTY,0.0002864,Unknown,1538307
DOLLAR TREE INC,DLTR,0.0002851,Unknown,2559143
CF INDUSTRIES HOLDINGS INC,CF,0.0002851,Unknown,2198676
TEXTRON INC,TXT,0.0002847,Unknown,2344180
JACK HENRY + ASSOCIATES INC,JKHY,0.0002733,Unknown,923491
UDR INC,UDR,0.0002730,Unknown,3801215
CAMDEN PROPERTY TRUST,CPT,0.0002662,Information Technology,1351014
CONAGRA BRANDS INC,CAG,0.0002627,Unknown,6031341
STANLEY BLACK + DECKER INC,SWK,0.0002614,Unknown,1950559
POOL CORP,POOL,0.0002601,Unknown,480558
JM SMUCKER CO/THE,SJM,0.0002544,Unknown,1348579
HUNT (JB) TRANSPRT SVCS INC,JBHT,0.0002539,Unknown,1006753
AKAMAI TECHNOLOGIES INC,AKAM,0.0002520,Unknown,1898007
JUNIPER NETWORKS INC,JNPR,0.0002503,Unknown,4170356
MODERNA INC,MRNA,0.0002480,Unknown,4284228
REGENCY CENTERS CORP,REG,0.0002458,Unknown,2068647
C.H. ROBINSON WORLDWIDE INC,CHRW,0.0002415,Unknown,1485593
FOX CORP   CLASS A,FOXA,0.0002407,Unknown,2794613
ALIGN TECHNOLOGY INC,ALGN,0.0002393,Unknown,883523
NORDSON CORP,NDSN,0.0002340,Unknown,686480
INCYTE CORP,INCY,0.0002314,Unknown,2024497
ALLEGION PLC,ALLE,0.0002308,Unknown,1098392
SKYWORKS SOLUTIONS INC,SWKS,0.0002294,Unknown,2022857
VIATRIS INC,VTRS,0.0002291,Unknown,15116601
LKQ CORP,LKQ,0.0002289,Unknown,3285066
CARMAX INC,KMX,0.0002288,Unknown,1957594
ERIE INDEMNITY COMPANY CL A,ERIE,0.0002233,Unknown,316385
ASSURANT INC,AIZ,0.0002231,Unknown,647978
PINNACLE WEST CAPITAL,PNW,0.0002229,Unknown,1438500
EASTMAN CHEMICAL CO,EMN,0.0002218,Unknown,1464613
BUNGE GLOBAL SA,BG,0.0002191,Unknown,1764334
MOLSON COORS BEVERAGE CO   B,TAP,0.0002189,Unknown,2207450
