Name,Ticker,Weight,Industry,Shares Held
DEVON ENERGY CORP,DVN,0.0004700,Unknown,8300693
EVERSOURCE ENERGY,ES,0.0004697,Unknown,4630227
STERIS PLC,STE,0.0004689,Unknown,1248967
NVR INC,NVR,0.0004662,Unknown,38735
CDW CORP/DE,CDW,0.0004646,Unknown,1683648
WATERS CORP,WAT,0.0004616,Unknown,750411
EDISON INTERNATIONAL,EIX,0.0004610,Unknown,4892265
SMURFIT WESTROCK PLC,SW,0.0004581,Unknown,6249722
CMS ENERGY CORP,CMS,0.0004581,Unknown,3775859
ZIMMER BIOMET HOLDINGS INC,ZBH,0.0004567,Unknown,2515571
HALLIBURTON CO,HAL,0.0004560,Unknown,11100921
DARDEN RESTAURANTS INC,DRI,0.0004539,Unknown,1484720
WEYERHAEUSER CO,WY,0.0004486,Unknown,9181203
HUNTINGTON BANCSHARES INC,HBAN,0.0004425,Unknown,18358754
PULTEGROUP INC,PHM,0.0004422,Unknown,2591886
BIOGEN INC,BIIB,0.0004351,Unknown,1841627
MCCORMICK + CO NON VTG SHRS,MKC,0.0004329,Unknown,3177009
INTL FLAVORS + FRAGRANCES,IFF,0.0004317,Unknown,3230576
SYNCHRONY FINANCIAL,SYF,0.0004310,Unknown,4920013
T ROWE PRICE GROUP INC,TROW,0.0004301,Unknown,2807670
FIRSTENERGY CORP,FE,0.0004270,Unknown,6464336
CARNIVAL CORP,CCL,0.0004236,Unknown,13126284
LABCORP HOLDINGS INC,LH,0.0004203,Unknown,1056784
COTERRA ENERGY INC,CTRA,0.0004198,Unknown,9308070
SUPER MICRO COMPUTER INC,SMCI,0.0004197,Unknown,6363488
VERISIGN INC,VRSN,0.0004118,Unknown,1044730
EXPEDIA GROUP INC,EXPE,0.0004115,Unknown,1551870
HEWLETT PACKARD ENTERPRISE,HPE,0.0004091,Unknown,16410331
REGIONS FINANCIAL CORP,RF,0.0004039,Unknown,11485004
NORTHERN TRUST CORP,NTRS,0.0004031,Unknown,2505160
LYONDELLBASELL INDU CL A,LYB,0.0004023,Unknown,3283207
MID AMERICA APARTMENT COMM,MAA,0.0004020,Unknown,1472725
QUEST DIAGNOSTICS INC,DGX,0.0004019,Unknown,1410606
INVITATION HOMES INC,INVH,0.0003996,Unknown,7199327
WR BERKLEY CORP,WRB,0.0003976,Unknown,3807812
SOUTHWEST AIRLINES CO,LUV,0.0003971,Unknown,7589168
ESSEX PROPERTY TRUST INC,ESS,0.0003963,Unknown,813533
NETAPP INC,NTAP,0.0003933,Unknown,2587330
PTC INC,PTC,0.0003928,Unknown,1518305
NRG ENERGY INC,NRG,0.0003928,Unknown,2559602
CLOROX COMPANY,CLX,0.0003880,Unknown,1564315
LIVE NATION ENTERTAINMENT IN,LYV,0.0003876,Unknown,1983407
SEAGATE TECHNOLOGY HOLDINGS,STX,0.0003851,Unknown,2665126
NISOURCE INC,NI,0.0003849,Unknown,5898199
ON SEMICONDUCTOR,ON,0.0003827,Unknown,5380230
LENNOX INTERNATIONAL INC,LII,0.0003820,Unknown,405281
